a_water,avg_irrad,avg_rad,b,fd_flag,flux,na,ns,num_scatters
0.179,4.485504223145595,0.3999348654405693,0.219,True,1871.156982421875,4,32,0
0.179,4.456223120432071,4.456223120432071,0.219,False,1846.23583984375,4,32,0
0.179,4.354861687203209,0.39619779167978675,0.219,True,1799.98193359375,6,32,0
0.179,4.298702146264745,4.298702146264745,0.219,False,1771.73291015625,6,32,0
0.179,4.312732353970007,0.40631983436695945,0.219,True,1778.0838623046875,8,32,0
0.179,4.230300945832905,4.230300945832905,0.219,False,1748.93896484375,8,32,0
0.179,4.295573817173603,0.4153278492378101,0.219,True,1768.8958740234375,10,32,0
0.179,4.198471887637324,4.198471887637324,0.219,False,1740.28076171875,10,32,0
0.179,4.474563076135309,0.3989280826713122,0.219,True,1902.3404541015625,4,48,0
0.179,4.501622779482217,4.501622779482217,0.219,False,1939.6322021484375,4,48,0
0.179,4.346797337977561,0.3953653788537078,0.219,True,1828.6776123046875,6,48,0
0.179,4.343757167098765,4.343757167098765,0.219,False,1862.1416015625,6,48,0
0.179,4.3032593435576,0.40535410194542304,0.219,True,1806.7415771484375,8,48,0
0.179,4.275055484067155,4.275055484067155,0.219,False,1838.2850341796875,8,48,0
0.179,4.285561285365275,0.4143004506486431,0.219,True,1797.501708984375,10,48,0
0.179,4.243088748045185,4.243088748045185,0.219,False,1828.417724609375,10,48,0
0.179,4.470229718470957,0.39853659499751276,0.219,True,1907.7869873046875,4,64,0
0.179,4.518639838546105,4.518639838546105,0.219,False,1975.6998291015625,4,64,0
0.179,4.343677068984896,0.3950507710742555,0.219,True,1833.5618896484375,6,64,0
0.179,4.360870473957746,4.360870473957746,0.219,False,1897.4188232421875,6,64,0
0.179,4.299881733972418,0.4050095065103777,0.219,True,1811.548583984375,8,64,0
0.179,4.292114984382887,4.292114984382887,0.219,False,1873.121826171875,8,64,0
0.179,4.281699411337584,0.4139154597180562,0.219,True,1802.3441162109375,10,64,0
0.179,4.260108548052325,4.260108548052325,0.219,False,1863.0133056640625,10,64,0
0.179,4.469347964663755,0.39845624987222666,0.219,True,1908.1104736328125,4,72,0
0.179,4.523721155936918,4.523721155936918,0.219,False,1985.956787109375,4,72,0
0.179,4.343097606840477,0.3949895970440042,0.219,True,1833.7774658203125,6,72,0
0.179,4.366001996085991,4.366001996085991,0.219,False,1907.48046875,6,72,0
0.179,4.299245783914763,0.4049418068127938,0.219,True,1811.748291015625,8,72,0
0.179,4.29723497739381,4.29723497739381,0.219,False,1883.0689697265625,8,72,0
0.179,4.280916687139489,0.41383651870333593,0.219,True,1802.5576171875,10,72,0
0.179,4.2652108173385335,4.2652108173385335,0.219,False,1872.9058837890625,10,72,0
