a_water,avg_irrad,avg_rad,b,fd_flag,flux,na,ns,num_scatters
0.1,4.564955633118938,0.4628008739431214,0.01,True,1699.657470703125,10,8,0
0.1,4.736474500908736,4.736474500908736,0.01,False,2104.41650390625,10,8,0
0.1,4.736311740352847,4.736311740352847,0.01,False,2096.937744140625,10,8,1
0.1,4.736228175002887,4.736228175002887,0.01,False,2096.964599609375,10,8,2
0.1,4.736231913955314,4.736231913955314,0.01,False,2096.96435546875,10,8,3
0.1,4.719411055421677,0.47935636527834674,0.01,True,1851.9840087890625,10,16,0
0.1,4.736474500908736,4.736474500908736,0.01,False,2104.41650390625,10,16,0
0.1,4.736311740352847,4.736311740352847,0.01,False,2096.937744140625,10,16,1
0.1,4.736228175002887,4.736228175002887,0.01,False,2096.964599609375,10,16,2
0.1,4.736231913955314,4.736231913955314,0.01,False,2096.96435546875,10,16,3
0.1,4.786843947592455,0.48149973300295607,0.01,True,2130.94970703125,10,32,0
0.1,4.736474500908736,4.736474500908736,0.01,False,2104.41650390625,10,32,0
0.1,4.736311740352847,4.736311740352847,0.01,False,2096.937744140625,10,32,1
0.1,4.736228175002887,4.736228175002887,0.01,False,2096.964599609375,10,32,2
0.1,4.736231913955314,4.736231913955314,0.01,False,2096.96435546875,10,32,3
0.1,4.772002045687343,0.4796984801613631,0.01,True,2162.401123046875,10,48,0
0.1,4.736474500908736,4.736474500908736,0.01,False,2104.41650390625,10,48,0
0.1,4.736311740352847,4.736311740352847,0.01,False,2096.937744140625,10,48,1
0.1,4.736228175002887,4.736228175002887,0.01,False,2096.964599609375,10,48,2
0.1,4.736231913955314,4.736231913955314,0.01,False,2096.96435546875,10,48,3
0.1,4.766099087975963,0.4789947884902465,0.01,True,2166.691650390625,10,64,0
0.1,4.736474500908736,4.736474500908736,0.01,False,2104.41650390625,10,64,0
0.1,4.736311740352847,4.736311740352847,0.01,False,2096.937744140625,10,64,1
0.1,4.736228175002887,4.736228175002887,0.01,False,2096.964599609375,10,64,2
0.1,4.736231913955314,4.736231913955314,0.01,False,2096.96435546875,10,64,3
0.1,5.020904179350205,0.45745325108676227,0.01,True,2295.05029296875,4,72,0
0.1,4.736474500908736,4.736474500908736,0.01,False,2104.41650390625,4,72,0
0.1,4.736311740352847,4.736311740352847,0.01,False,2096.937744140625,4,72,1
0.1,4.736228175002887,4.736228175002887,0.01,False,2096.964599609375,4,72,2
0.1,4.736231913955314,4.736231913955314,0.01,False,2096.96435546875,4,72,3
0.1,4.872951148304795,0.4541766563050406,0.01,True,2206.91943359375,6,72,0
0.1,4.736474500908736,4.736474500908736,0.01,False,2104.41650390625,6,72,0
0.1,4.736311740352847,4.736311740352847,0.01,False,2096.937744140625,6,72,1
0.1,4.736228175002887,4.736228175002887,0.01,False,2096.964599609375,6,72,2
0.1,4.736231913955314,4.736231913955314,0.01,False,2096.96435546875,6,72,3
